"AcceptedKnowledge";"infoSeeking";"infoPassive";"FakeIDK";"FakeIncorrect";"Selective";"Unconscious";"s";"sprime";"sigmaHNL";"sigmaHNL3";"sigmaHL";"sigmaINL";"sigmaIL";"sigmaHNL3DK";"sigmaHNL3Incor"
"1";0.249789970246294;0.306608128904258;0;0;0.0458768021307852;0;0.396664722547635;0.492557051427841;0.529537953923557;0.257478251831128;0.125832788469685;0.233885747272403;0.212277014708219;0.274069181266017;0.18270626537964;0.197620974070624
"2";0.218914982875605;0.342433541172785;0;0;0;0;0.437906920163094;0.676195116094804;0.518908121717864;0.221316050849128;0.165212066153482;0.239517153584526;0.182557365411639;0.249397881185427;0.303294501116763;0.265306502044241
"3";0.216645129243666;0.307473209511462;0;0.0205747987930032;0;0;0.453558856726961;0.667209314795136;0.781829385080727;0.26879653061945;0.14544802394651;0.25111943417033;0.18456239918146;0.254024068277649;0.2535202672703;0.228828734714039
"4";0.241565327270514;0.242139204290693;0;0.0641027791535529;0;0;0.451364986213485;0.713995828805674;0.606304315972195;0.23851985260522;0.165230902658209;0.252555676448086;0.166633608424809;0.250726804101595;0.256684338543259;0.271864421416772
"5";0.17185632928742;0.320059664770219;0.0715922104742991;0.0618215279353508;0;0;0.374051060825035;0.610587088963;0.513983840507209;0.210374524002085;0.119447211227138;0.235191117575289;0.18978632640749;0.251415897404398;0.278349462136103;0.234228276435612
"6";0.195042083168921;0.290066741636464;0.00852692818367319;0.101813757306044;0;0;0.404207343708641;0.433726502914774;0.772560693111588;0.204583191429025;0.165694101034207;0.215952330496907;0.186883479148011;0.247565968139441;0.276837355541538;0.233673153868859
"7";0.180034558206111;0.31244658413423;0;0.0526928121273728;0.0411461648574824;0;0.412881707344173;0.594229773894985;0.569737217274911;0.289439270202489;0.0932397218138722;0.292466369657928;0.174348728428363;0.251199892785198;0.226282553842208;0.223994491721285
"8";0.201779147320518;0.232334760003005;0;0.137957669191428;0;0;0.426325549124844;0.537055888994644;0.4407506583255;0.244378099013052;0.108438164368773;0.246464287449192;0.188363747047677;0.255756772401991;0.268302619978855;0.246639530233803
"9";0.265275982283884;0.283955858286312;0;0.079760721655352;0;0;0.37096481556519;0.299408949039128;0.617672699964075;0.258031420031971;0.149096228911704;0.275943254832002;0.176798882975586;0.275397626310285;0.221162107694394;0.205517267035043
"10";0.190233173494952;0.396798415924493;0;0.00504323552086129;0;0;0.407694084178517;0.582659378347307;0.963587587611779;0.215752783845736;0.127919005874071;0.266143933724582;0.189957571678856;0.271066676335064;0.231340893963701;0.194796672375884
