"AcceptedKnowledge";"infoSeeking";"infoPassive";"FakeIDK";"FakeIncorrect";"Selective";"Unconscious";"s";"sprime";"sigmaHNL";"sigmaHNL3";"sigmaHL";"sigmaINL";"sigmaIL";"sigmaHNL3DK";"sigmaHNL3Incor"
"1";0.426837643253033;0.184522127715305;0;0.0117258007841108;0;0;0.376066258595615;0.777266041514672;0.672500586448575;0.194111610069741;0.22643518587917;0.219241676603909;0.217433080691093;0.192473949941251;0.217265182112887;0.194248384272928
"2";0.425864300352617;0.160406844368463;0.0456224117707865;0;0;0;0.367516621943484;0.730599656581475;0.562742404129618;0.207750808879716;0.224681207084868;0.221973072322802;0.208571483152784;0.200348990769764;0.225768714086883;0.217436153398817
"3";0.412187115512975;0.193924327368;0;0;0;0;0.392650867852291;0.807990659546221;0.592086599733347;0.214439060126606;0.231081463183005;0.214097231395657;0.209469453534693;0.20042804012803;0.229021490931207;0.212137712368442
"4";0.453721422491343;0.177192619517567;0;0;0;0;0.368059902660391;0.770191835911616;0.614991596765974;0.203838878603149;0.23050556283931;0.211145674187386;0.207585805633927;0.200735414324523;0.21249988239957;0.210247964064389
"5";0.410525872693134;0.220626252109491;0;0;0;0;0.36718362730622;0.740425034251324;0.557133438520891;0.193272986665737;0.234362958007596;0.208388499355874;0.213622435141332;0.206882855752974;0.223788853073938;0.189413269994777
"6";0.427480521590516;0.182491649507868;0;0;0;0;0.388718241301942;0.783427302194934;0.55358312662542;0.195024063503619;0.235089761319173;0.226760352700199;0.21520261909269;0.190556450381931;0.225105461422294;0.207716979165284
"7";0.411796190840205;0.218510868090669;0;0;0;0;0.368203723853173;0.813762830079383;0.64301566443575;0.201203410801936;0.232918369428219;0.22024535634198;0.208956987028747;0.203082546552111;0.249657085261151;0.198811646294411
"8";0.449305574502467;0.182137213816275;0;-8.67361737988404e-19;0;0;0.367958790841343;0.801191064343066;0.620031974784875;0.198396856649592;0.243198012284115;0.199723552102242;0.199824097091117;0.196969055688382;0.208214719915666;0.211116667767998
"9";0.41085716413475;0.215599413179811;0;0;0;0;0.37203706388152;0.741576049639953;0.543256262625893;0.199076848464239;0.226711704515514;0.200910893200018;0.210233958665903;0.200384506992361;0.219861309715876;0.195237863833065
"10";0.420491517774403;0.187207038195491;0;0;0;0;0.391241382962599;0.924432271906824;0.726582627984124;0.194072595165136;0.230365946767664;0.213333323612634;0.214226138841929;0.194234102339647;0.230952417642316;0.211313355163329
"11";0.41509900353184;0.205765305100214;0;0;0;0;0.378112294752322;0.812020238674642;0.587608780727514;0.194376503354032;0.233710897443432;0.208784232706877;0.20762170611745;0.187378842117665;0.227605341655596;0.196403889913711
"12";0.432454389309277;0.184668390826815;0;0.0162661447290594;0;0;0.365321308980338;0.765828964568078;0.620462814466584;0.18793978863858;0.232411781362642;0.228801950160467;0.201868619313458;0.195217784915889;0.25018740053535;0.20189387654503
"13";0.436705346217509;0.161846985353001;0;0.0355225224260297;0;0;0.365148420395042;0.689699083721616;0.613016808597592;0.196659094182596;0.239713724906328;0.203662203477842;0.214060019259774;0.203733252125612;0.249592569211797;0.202185337516048
"14";0.436712906479951;0.165803919621987;0.0287594292788999;0;0;0;0.367919631673502;0.699838102252897;0.550316112121008;0.204456459871362;0.230060114212366;0.223349426943456;0.199683847645536;0.204269551777332;0.217357567141209;0.200613551008941
"15";0.429492372099348;0.187685073812112;0;0;0;0;0.381720558261447;0.775421354667832;0.61667007671885;0.196338466560962;0.231316274087942;0.219434474046643;0.221747489787364;0.201177744912112;0.230837744808768;0.210497234678178
"16";0.415547776162789;0.145971975235209;0;0.056393266712062;0;0;0.380851470244896;0.775181425283207;0.760962808340298;0.196426727749108;0.236151235202675;0.204986322906857;0.212348431551601;0.19761631898546;0.224623995975973;0.19658238415195
"17";0.429573360501396;0.196095156203232;0;0;0;0;0.373585645170488;0.720251403638023;0.559276665807975;0.189979575022693;0.220815121140758;0.199987269173636;0.216303306215561;0.202947005502011;0.222172022494954;0.202790270928962
"18";0.410547609883624;0.221249273135607;0;0;0;0;0.366941658404404;0.751524506466027;0.613353626189939;0.189261827247447;0.21921823177327;0.208563393419252;0.212495867208763;0.195721508742924;0.233417835006985;0.192946060370229
"19";0.443467441166445;0.180415709362883;0;0;0;0;0.374788247320423;0.758163518240934;0.574376097992675;0.208180384656279;0.233208881303545;0.218637263252369;0.208913643225412;0.2006506390074;0.21532687577224;0.205401452228751
"20";0.441077867371862;0.191820334396385;0;0;0;0;0.365423954043186;0.735499997338519;0.599894726318407;0.20410796603846;0.226853928005011;0.227437012809557;0.220125492919838;0.203220407403442;0.242231912046161;0.186879872543299
"21";0.43490147577913;0.190127039481353;0;0;0;0;0.37398874391122;0.743211613527236;0.604344667493883;0.192959941166594;0.229647317994575;0.222403818577344;0.218144772882672;0.200614345946346;0.230051543942091;0.212240630602608
"22";0.440946423920592;0.185460250774274;0;0.00120234998355447;0;0;0.371038058005183;0.794603978099382;0.603877422993665;0.207258184138905;0.231511574486922;0.216334365405504;0.219008474100988;0.203130777181139;0.221333303648872;0.21082925901831
"23";0.439957981265102;0.188017242676017;0;0;0;0;0.370922247816699;0.711705104107624;0.542872809465239;0.189207853910392;0.232118360443149;0.220160073651392;0.203800280595315;0.193947338481388;0.220432523837394;0.201619237168272
"24";0.465396747029185;0.171198356076738;0;0;0;0;0.362120135974142;0.683368378227868;0.568369542149533;0.196503902355524;0.221439770653228;0.209704078509444;0.206529354819701;0.205710757269945;0.198993381998714;0.191727007626628
"25";0.425191016967279;0.202578838270182;0;0;0;0;0.371786317871402;0.779163886354597;0.586754489419398;0.186338407271005;0.215921262435202;0.215684258770045;0.209577136323431;0.206912675846346;0.215808642451653;0.169059529925597
"26";0.419525403698111;0.207585367705178;0;0;0;0;0.371542085323313;0.804538735134586;0.57312365124691;0.201698218989186;0.238101208559181;0.200334307320123;0.224816644191365;0.209771288452913;0.244064655857739;0.20699889559557
"27";0.420006148860982;0.203708300102562;0;0;0;0;0.375333829864937;0.822491086623341;0.722666272784395;0.211933267564199;0.225336204805758;0.202889442360617;0.212334664848657;0.201123253795729;0.22866938853847;0.204659774663021
"28";0.447830934502514;0.171887525998643;0;0;0;0;0.379100791200159;0.731802235646871;0.562912779531314;0.189429238173777;0.232483608676837;0.202523600209473;0.209682495033389;0.212795050079567;0.211991828036067;0.191507026905934
"29";0.439672783555412;0.143354139906886;0;0.0336700501588908;0;0;0.381937420916788;0.745279681285042;0.668408179414376;0.193238453992685;0.23804751835012;0.222548869309457;0.211729547812827;0.197456226973715;0.221537108577307;0.20402233150102
