"AcceptedKnowledge";"infoSeeking";"infoPassive";"FakeIDK";"FakeIncorrect";"Selective";"Unconscious";"s";"sprime";"sigmaHNL";"sigmaHNL3";"sigmaHL";"sigmaINL";"sigmaIL";"sigmaHNL3DK";"sigmaHNL3Incor"
"1";0.303491754060802;0.348061645363028;0;0;0;0;0.348274207492582;0.568390245881755;0.52369222958706;0.243165733978436;0.214609016875294;0.264166991059867;0.213506029543616;0.26582263785332;0.26658017344857;0.209715228710423
"2";0.316296312782116;0.341143296082673;0;0;0;0;0.342511470794877;0.530195488992146;0.512903074724557;0.238219401297424;0.221755467569488;0.268247180001243;0.215551918826155;0.247715238984406;0.277268670699004;0.214586408416053
"3";0.302533652908529;0.351083927181531;0;0.0165862408354712;0;0;0.330029645671489;0.550993338470752;0.505965609608772;0.226511212232555;0.210385959921291;0.264744869798801;0.216472675175736;0.259874669466646;0.281483184088592;0.211925465902562
"4";0.300971685860294;0.359620275837165;0;0;0;0;0.339343874788056;0.586143702679301;0.508988531549677;0.222910424328398;0.194646316064855;0.27529406887359;0.209253454568947;0.268961223925931;0.262351295289769;0.201010660249889
"5";0.279192373124107;0.379028206044883;0;0;0;0.00434103516527588;0.337554044432789;0.587098327090483;0.537112248488376;0.227812215313587;0.201592624010685;0.277567124077125;0.215471691318368;0.255191641051574;0.276419750745785;0.225746457999938
"6";0.283866828745946;0.373100563288847;0;0;0;0;0.342893239040686;0.596298328957917;0.531849217378743;0.229978519093024;0.216916764921898;0.279195532623665;0.212358565837445;0.263920928219379;0.292619909410738;0.212481875730901
"7";0.289985693449307;0.338300445705238;0;0.0216609829412449;0.0193945722441144;0;0.330651631111848;0.483808831255239;0.473342921991303;0.237060571468453;0.193110509130317;0.272064678987858;0.196837915525562;0.254035521998653;0.263741133322889;0.200008221513768
"8";0.311393744872579;0.351651801060988;0;0.00694981073067988;0;0;0.330202389441853;0.542408861202414;0.506785951691571;0.200426045516028;0.22718311733113;0.263666261755026;0.208128903051869;0.267774679154851;0.275888975844566;0.205247744300122
"9";0.280268098992361;0.385466452641026;0;0;0;0;0.334555476712266;0.599795512336056;0.54581344541399;0.226411898297383;0.203336011629372;0.261654874051759;0.216565535381716;0.264041218867213;0.262211578963551;0.217868978348381
"10";0.314422897944677;0.28595340211554;0.062225875307731;0;0;0;0.337486919842886;0.580844653608866;0.536680119144686;0.201072566907225;0.227652162155111;0.267211713808521;0.207047270748817;0.258710463967315;0.272023060383611;0.188464266584965
"11";0.298197985820392;0.340708824685616;0;0;0.0177807569561898;0;0.343301203982567;0.556964360353855;0.539820107882336;0.217277638437502;0.205204969872494;0.281787611269384;0.208031264403696;0.260485051794776;0.259419591740883;0.192772036451923
"12";0.288571715418572;0.357171724211604;0;0.0201351711706845;0;0;0.33417758285652;0.598191719318298;0.519338327675665;0.256681044327383;0.216627016094331;0.258919085427937;0.201185187767734;0.254678531761504;0.26247874854346;0.203434231207528
"13";0.28821427442048;0.380371882914936;0;0;0;0;0.33168005981209;0.578209611693997;0.537686708593643;0.233532328885306;0.211388494667957;0.265393260826811;0.211314703283257;0.250096053346348;0.264371396062192;0.202841318064244
"14";0.30037629578926;0.365383909811688;0;0;0;0;0.334536517981318;0.598801762854056;0.528503801101939;0.21649836711898;0.204681934262168;0.26875427219045;0.208238717491;0.256121505730437;0.273383956109744;0.218174147738627
"15";0.289784253619714;0.36139736212162;0;0;0;0;0.349118912426858;0.58814970723657;0.529172814494307;0.233224022893941;0.197479251786577;0.261142569919937;0.214457307454395;0.256522715631868;0.272555434110496;0.236150075151613
